№ п/п;Код ресурса;Наименование ресурса;Ед.изм.;Кол-во;Сметная стоимоть  в базисном уровне;;;;
;;;;;На ед.    изм.;Общ;ЗП маш;;
68;"стр.14, п.14; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.26) КП ООО Тульские ""Машины""";Ленточный конвейер 5 тонн/час (L=4 м, ширина ленты 300 мм), (герметичное укрытие ленты по всей длине конвейера, с системой очистки ленты), ЛК-П300, 3 кВт, 200 кг;шт;1;25362,32;25362,32;;;161
71;"стр.14, п.17; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.29) КП ООО Тульские ""Машины""";Ленточный конвейер 5 тонн/час (L=4 м, ширина ленты 300 мм), (герметичное укрытие ленты по всей длине конвейера, с системой очистки ленты), ЛК-П300, 3 кВт, 200 кг;шт;1;25362,32;25362,32;;;161
64;"стр.13, п.6; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.16) КП ООО Тульские ""Машины""";Ленточный конвейер 5 тонн/час (L=5,3 м, ширина ленты 300 мм), (герметичное укрытие ленты по всей длине конвейера, с системой очистки ленты), ЛК-П300, 3 кВт, 280 кг;шт;1;30695,65;30695,65;;;163
65;"стр.13, п.7;  116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.18) КП ООО Тульские ""Машины""";Ленточный конвейер 5 тонн/час (L=5,7 м, ширина ленты 300 мм), (герметичное укрытие ленты по всей длине конвейера, с системой очистки ленты), ЛК-П300, 3 кВт, 300 кг;шт;1;32202,9;32202,9;;;163
67;"стр.13, п.9; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.21) КП ООО Тульские ""Машины""";Ленточный конвейер 5 тонн/час (L=6 м, ширина ленты 300 мм), (герметичное укрытие ленты по всей длине конвейера, с системой очистки ленты), ЛК-П300, 3 кВт, 200 кг;шт;1;33333,33;33333,33;;;161
66;"стр.13, п.8; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.20) КП ООО Тульские ""Машины""";Ленточный конвейер 5 тонн/час (L=9,8 м, ширина ленты 300 мм), (герметичное укрытие ленты по всей длине конвейера, с системой очистки ленты), ЛК-П300, 6 кВт, 450 кг;шт;1;47652,17;47652,17;;;163
62;"стр.13, п.4; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.9) КП ООО Тульские ""Машины""";Ленточный питатель с частотным преобразователем, 5 тонн/час, 0,37 кВт (герметичное укрытие ленты по всей длине конвейера, с системой очистки ленты);шт;1;6521,74;6521,74;;;147
91;"стр.275, п.11; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.38), КП АО""Гипротяжмаш""";Локальная аспирационная установка P0600, производительность 900-1400 м3/час, L900х900х2600h мм, вертикального исполнения,  картрижного типа, вентилятор 2,2 кВт, 240 кг.;шт;1;123188,41;123188,41;;;168
140;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.38;"Манометр мембранный показывающий коррозионностойкий. 
Диаметр корпуса 160мм. Класс точности 1,5. Степень защиты IP54. Исполнение II: радиальное, способ присоединения к месту отбора давления - с помощью фланца. ДМ8009-Кс";шт.;50;2086,96;104348;;;220
36;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.14.3;Манометр общетехнический радиальный ТМ-610Р.00 0...1,6 МРа 1/2' кл.1.5 (00000006956);шт;6;129,99;779,94;;;84
118;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.7.43;Манометр технический ТМ-510;шт;40;64,49;2579,6;;;27
161;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.50;"Манометр электроконтактный избыточного давления с ЖК индикатором, 
с сигналом 4…20 mA, взрывозащищенный, пылевлагозащита — IP65. 
Мощность коммутации оптореле — напряжение ~/=220 В, ток 300 мА; ЭКМ-1005 Ех ДИ";шт.;20;3913,04;78260,8;;;210
73;"Прайс лист ""Вязьма"" (116.4-01-СМ4.4  стр. 143)";Машина стиральная барьерная ЛБ-30;шт;3;187597,39;562792,17;;;33
78;"Прайс лист ""Вязьма"" (116.4-01-СМ4.4  стр. 145)";"Машина сушильная  (ВС-25)
Загрузочная масса, кг – 25,0;
Производительность, кг/ч – 75;
Вид обогрева – электрический.";шт;1;51420,87;51420,87;;;119
88;"Прайс лист ОАО ""Вяземский
машиностроит.
з-д "" (116.4-01-СМ4.4  стр. 128)";"Машина химчистки
Мощность дистиллятора, кВт - 6
Мощность калорифера сушки, кВт - 9
Мощность двигателя привода, кВт - 0,55/1,8. Мощность двигателя фильтра, кВт - 0,33
Мощность двигателя насоса, кВт - 1,1. Мощность двигателя вентилятора дезодорации, кВт - 0,06
Мощность компрессора холодильника, кВт - 2,2
Расход электроэнергии, кВт*ч/цикл, - 9. Габаритные размеры, мм - 1 650×1 160×2 120. ЛВХ-12";шт;1;233684,35;233684,35;;;400
77;"стр.14, п.22; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.39) КП ООО Тульские ""Машины""";Мельница МК-160х700 сухого помола вх. фракция 40 мм, вых. фракция 100 мкм, габаритные размеры L1700х835х1356h, 5 кВт, 15 кВт, 700 кг;шт;2;137681,16;275362,32;;;132
207;"Прайс-лист ООО ""ЛАБРЕАКТИВ""";"Мельница РМ-200. Мощность: 1250 Вт; питание: 220 В, 50 Гц";шт;1;233995,25;233995,25;;;57
36;"п.1; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.20.23) КП ООО""Терра Экология инжиниринг""";Мембранный насос-дозатор, Markro TZMbH 120260 TT T 1000S0000/ Производительность 260 л/ч, 12 бар, 0,75 кВт, 46 кг;шт;4;167394,55;669578,2;;;113
59;"п.2; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.20.24) КП ООО""Терра Экология инжиниринг""";Мембранный насос-дозатор, S1Cb07065PVT/ Производительность 63 л/ч, 7 бар, 0,12 кВт, 9 кг;шт;4;29771,49;119085,96;;;88
231;"Прайс-лист ООО ""ХимЛаб""";"Микроволновая система разложения МС-10. Мощность: 2000 Вт; питание: 220 В, 50 Гц";шт;1;184800;184800;;;80
60;"п.1-2; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.21.28) КП ООО «Ярпрофснаб»";Миксер для еврокуба с подъемным механизмом (120 об/мин), 0,37 кВт, 28 кг;шт;1;6782,61;6782,61;;;72
123;Прайс-лист Компания ЦМО;Модуль вентиляторный, 2 вентилятора с терморегулятором   R-FAN-2T;шт;1;614,93;614,93;;;65
120;Прайс-лист Компания ЦМО;Модуль вентиляторный, 2 вентилятора с терморегулятором   R-FAN-2T;шт;1;614,93;614,93;;;65
130;Прайс-лист Компания ЦМО;Модуль вентиляторный, 2 вентилятора с терморегулятором   R-FAN-2T;шт;1;614,93;614,93;;;65
121;Прайс-лист Компания ЦМО;Модуль вентиляторный, 2 вентилятора с терморегулятором   R-FAN-2T;шт;1;614,93;614,93;;;65
124;Прайс-лист Компания ЦМО;Модуль вентиляторный, 2 вентилятора с терморегулятором   R-FAN-2T;шт;1;614,93;614,93;;;65
124;Прайс-лист Компания ЦМО;Модуль вентиляторный, 2 вентилятора с терморегулятором   R-FAN-2T;шт;1;614,93;614,93;;;65
111;Прайс-лист Компания ЦМО;Модуль вентиляторный, 2 вентилятора с терморегулятором   R-FAN-2T;шт;1;614,93;614,93;;;65
125;Прайс-лист Компания ЦМО;Модуль вентиляторный, 2 вентилятора с терморегулятором   R-FAN-2T;шт;1;614,93;614,93;;;65
123;Прайс-лист Компания ЦМО;Модуль вентиляторный, 2 вентилятора с терморегулятором   R-FAN-2T;шт;1;614,93;614,93;;;65
41;"стр.131, 116.4-01-СМ4.5.1, том 11.4.5.1; (КАЦ п. 15.4, том 11.4.5.1)";Модуль порошкового пожаротушения  «Буран-15КД10»  (43 шт. в запасе);шт.;167;1172,46;195800,82;;;67
109;"Прайс-лист         ООО ""КРАСБЕЗОПАСНОСТЬ""";Модуль порошкового пожаротушения «BIZONE»   МПП-(Н)-100-КД-1-БСГ-У2 с распылителем;шт;38;36262,32;1377968,16;;;82
67;Прайс-лист «Сатро-Паладин»;Модуль порошкового пожаротушения Буран-15КД10;шт;217;1183,01;256713,17;;;45
298;Прайс-лист Тинко октябрь 2020г, 116.4-01-СМ 4.2.2 стр 283;Модуль порошкового пожаротушения расценка тунгус-6;шт;12;474,78;5697,36;;;50
107;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.11;МОДУЛЬ РЕЗЕРВИРОВАНИЯ SITOP MODULAR 40A, 6EP1961-3BA21;шт.;11;1553,77;17091,47;;;54
205;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.9;Модуль скоростного счета 2x24V, 6ES7 550-1AA00-0AB0;шт.;10;6131,1;61311;;;51
450;"Прайс АО ""СовПлим"" Технико-коммерческое предложение № 9139, 116.4-01-СМ4.2.2, стр.194, специф.№2, поз.2";Модуль угольных фильтров MUF-20-CF-st;шт;2;259826,09;519652,18;;;37
287;"Прайс АО ""СОВПЛИМ"" октябрь 2020г 116.4-01-СМ 4.2.2 стр 194 п.10";Модуль фильтрующий во взрывозащищенном исполнении MIF-20st;комплект;2;114886,96;229773,92;;;58
288;"Прайс АО ""СОВПЛИМ"" октябрь 2020г, 116.4-01-СМ 4.2.2 стр 194 п.1";Модуль фильтрующий во взрывозащищенном исполнении MIF-20st;комплект;1;114886,96;114886,96;;;58
291;"Прайс АО ""СОВПЛИМ"" октябрь 2020г, 116.4-01-СМ 4.2.2 стр 194 п.4";Модуль фильтрующий во взрывозащищенном исполнении MIF-20st;комплект;2;114886,96;229773,92;;;58
293;"Прайс АО ""СОВПЛИМ"" октябрь 2020г, 116.4-01-СМ 4.2.2 стр 194 п.6";Модуль фильтрующий ионообменный с автоматическим управлением РИФ-ФК-5;комплект;2;646891,83;1293783,66;;;69
290;"Прайс АО ""СОВПЛИМ"" октябрь 2020г, 116.4-01-СМ 4.2.2 стр 194 п.3";Модуль фильтрующий ионообменный с автоматическим управлением РИФ-ФК-5щ;комплект;2;646891,83;1293783,66;;;70
339;"Прайс АО ""СовПлим"" Технико-коммерческое предложение № 9139,116.4-01-СМ4.2.2, стр.195, специф. №5, п.2";Модуль фильтрующий SFH-20/1;комплект;1;104347,83;104347,83;;;27
340;"Прайс АО ""СовПлим"" Технико-коммерческое предложение № 9139,116.4-01-СМ4.2.2, стр.195, специф. №5, п.3";Модуль фильтрующий SFH-20/1;комплект;4;104347,83;417391,32;;;27
338;"Прайс АО ""СовПлим"" Технико-коммерческое предложение № 9139,116.4-01-СМ4.2.2, стр.195, специф. №5, п.1";Модуль фильтрующий SFH-20/6;комплект;2;626086,96;1252173,92;;;27
341;"Прайс АО ""СовПлим"" Технико-коммерческое предложение № 9139,116.4-01-СМ4.2.2, стр.195, специф. №5, п.4";Модуль фильтрующий SFH-20/6;комплект;2;626086,96;1252173,92;;;27
76;"стр.14, п.20; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.40) КП ООО Тульские ""Машины""";Молотковая дробилка  МПС 150, производительность 1т/час, габаритные размеры, L800х400х500h, 5 кВт, 2,2 кВт, 127 кг;шт;2;18913,04;37826,08;;;114
181;"Прайс-лист АО ""Лабораторное оборудование и системы""";"Муфельная печь LF-9/13-G1. Мощность: 5500 Вт; питание:220 В, 50/60 Гц Габаритные размеры 525 х 620 х 625 мм";шт;1;17515,94;17515,94;;;107
55;"п.1; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.21.5), ООО «Ватт-НТ»";Накопительная емкость, полиэтилен, габаритные размеры 800х800х1200h мм, 160 кг (в комплекте СЭМАР-ЭКО );шт;1;;;;;103
77;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.6.6;Наружный блок LESSAR LS-HE24KLA2B/Внутренний блок (Qх = 8 кВт) LU-HE24KLA2B;компл;1;11275,36;11275,36;;;75
84;"Прайс лист ""Пром-Партнер"" (116.4-01-СМ4.4  стр. 130)";Насос АХ50-32-160-К55-У2;шт;1;5756,38;5756,38;;;24
63;"п.2; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.21.25) КП ООО""Деллмеко""";Насос диафрагменный  пневматический (DELLMECO) DM25/125 РТТ, 125 л/ч, полиэтилен, 17 кг;шт;3;12646,02;37938,06;;;87
71;"п.4; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.21.23) КП ООО""Деллмеко""";Насос диафрагменный  пневматический (DELLMECO) DM50/565 РТТ, 30 м3/ч, полиэтилен, 26 кг;шт;3;39590,3;118770,9;;;87
117;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.7.4;Насос контура вентиляции G=82,3 м3/ч, Н=15,3 м, Р=2x5,5 кВт, 50 Гц, 3х380 В, TPD 100-170/4 A-F-A-BAQE (316 кг);шт;1;55160,29;55160,29;;;110
116;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.7.3;Насос контура отопления G=17,3 м3/ч, Н=8,1 м, Р=2х0,75 кВт, 50 Гц, 3х380 В, TPD 50-120/2 A-F-A-BQQE (59,8 кг);шт;1;22444,07;22444,07;;;109
49;"п.1; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.21.27) КП ООО «Дэго-Глобал»";Насос мембранный (фторопласт, диаметр пождкючения 40 мм), , GT1-160 Dego Global Ltd. Тайвань, 157 л/мин, 26 кг;шт;3;18454,06;55362,18;;;110
42;"п.2;  116.4-01-СМ4.5, Том 11.4.5 (КАЦ п.17.22), КП ООО""Дозирующие системы""";Насос мембранный химический стойкий пневматический, 1 м3/ч, h=50 м, 24 кг;шт;21;3705,49;77815,29;;;73
30;"п.2; 116.4-01-СМ4.5, Том 11.4.5 (КАЦ п.18.16), КП ООО""Дозирующие системы""";Насос мембранный химический стойкий пневматический, 1 м3/ч, h=50м, 24 кг;шт;19;3705,49;70404,31;;;72
39;"стр.277, п.2;  116.4-01-СМ4.5.2, Том 11.4.5.2  (КАЦ п.19.10), КП ООО""Дозирующие системы""";Насос мембранный химический стойкий пневматический, 1 м3/ч, h=50м, 24 кг;шт;6;3705,49;22232,94;;;72
24;"п.1;  116.4-01-СМ4.5, Том 11.4.5 (КАЦ п.17.21), КП ООО""Дозирующие системы""";Насос мембранный химический стойкий пневматический, 3 м3/ч, h=50 м, 32 кг;шт;2;4967,7;9935,4;;;73
35;"п.2; 116.4-01-СМ4.5, Том 11.4.5 (КАЦ п.24.12) КП ООО «Терра Экология инжиниринг»";Насос оборотного водоснабжения. Материал проточной части - нерж. сталь, 380В, 12 м3/ч, h=35м, 2,2 кВт, 50 кг;шт;2;202989,86;405979,72;;;108
39;"Прайс лист  Завод дозировочной техники""АРЕОПАГ"" (116.4-01-СМ4.4  стр. 251, п.1 )";"Насос перистальтический (НПЭ25-1,7/15-И2-211ЦВ)
Подача номинальная, м3/ч - 1,7;
Давление максимальное, МПа - 0,5;
Мощность электродвигателя, кВт - 1,5; Напряжение - 380 В;
Исполнение  - взрывозащищённое (IExdIIВТ4); Вязкость среды максимальная, сПз - 4500; Материал патрубков, фланцев -сталь 06ХН28МДТ; Материал шланга - полимер NBR";шт;2;353652,17;707304,34;;;336
53;"Прайс лист  ""Центр водоснабжения"" (116.4-01-СМ4.4  стр.368)";"Насос погружной
Подача, м³/ч - 49,3;
Напор, м - 16,5;
Материал – чугун, карбид кремния. Zenit DRF-200/2/G50V-A1CT/50-EX";шт;1;13988,84;13988,84;;;122
25;"Прайс лист  ""Центр водоснабжения"" (116.4-01-СМ4.4  стр.368)";"Насос погружной (переносной)
Подача, м3/ч - 49,3;
Напор, м - 16,5;
Материал – чугун, карбид кремния. Zenit DRF-200/2/G50V-A1CT/50-EX";шт;1;13988,84;13988,84;;;135
38;"Прайс лист  ""Центр водоснабжения"" (116.4-01-СМ4.4  стр.368)";"Насос погружной (Zenit DRF-200/2)
Подача, м³/ч - 49,3; Напор, м - 16,5; Материал – чугун, карбид кремния";шт;1;13988,84;13988,84;;;105
47;"п.1; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.21.24) КП ООО «Промышленные насосы»";Насос с магнитной муфтой (полипропилен, диаметр подключения 40 мм) Argal TMR 06.10-WR, 8 м3/ч, 1,1 кВт, 13 кг;шт;11;10649,64;117146,04;;;109
58;"Прайс лист ООО ""Петербургская насосная компания""  (116.4-01-СМ4.4  стр.205, п. 2)";"Насос центробежный герметичный химический
Подача,  м³/мин - 25;
Напор, м - 50;
Напряжение, В - 380; 
Мощность, кВт - 11; 
Материал – 12Х18Н10Т. 1ЦНГМ-25/50-К-У4";шт;4;76557,97;306231,88;;;165
57;"Прайс лист ООО ""Петербургская насосная компания""  (116.4-01-СМ4.4  стр.205, п. 1)";"Насос центробежный герметичный химический
Подача,  м³/мин - 50;
Напор, м - 50; 
Напряжение, В – 380; 
Мощность, кВт - 22; 
Материал – 12Х18Н10Т. ГХН 50/50.1";шт;2;100701,01;201402,02;;;161
47;"Прайс лист ООО ""ИМПЕЛЛЕР""
г.Казань (116.4-01-СМ4.4  стр.227 )";"Насос центробежный герметичный химический
с магнитной муфтой
Подача - 400 л/мин
Напор - 27 м, 
Напряжение – 230/400 В 
Мощность - 3 кВт 
Материал проточной части -  полипопилен (PP). Sonderman RM27/400  Курс евро =87,34 руб. Цена =396190*87,34 = 34603234,6 руб";шт;5;5014961,54;25074807,7;;;266
59;"Прайс лист ООО ""Петербургская насосная компания""  (116.4-01-СМ4.4  стр.205, п. 3)";"Насос центробежный герметичный химический
с магнитной муфтой
Подача,  м³/мин - 25;
Напор, м - 50; 
Напряжение, В – 380; 
Мощность, кВт - 11; 
Материал – 12Х18Н10Т. 1ЦНГМ-Ех-25/50-К-У4";шт;6;78239,13;469434,78;;;189
47;"п.13;  116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.20.21) КП ООО""Терра Экология инжиниринг""";Насос центробежный Grandfos СМ1-4А-R-A-E-AVBE-J-A-A-N . Материал проточной части - нерж. сталь, 1 м3/ч, h=30м, 0,43 кВт, 12,3 кг;шт;2;5531,59;11063,18;;;128
51;"п.15;  116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.20.20) КП ООО""Терра Экология инжиниринг""";Насос центробежный Grandfos СМ1-7А-R-I-V-AQOV-J-A-A-N . Материал проточной части - нерж. сталь, 0,8 м3/ч, h=50м, 0,43 кВт, 13,8 кг;шт;2;7119,57;14239,14;;;130
46;"п.12; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.20.19) КП ООО""Терра Экология инжиниринг""";Насос центробежный Grandfos СМЕ1-8А-R-I-E-AQOE-U-A-D-N . Материал проточной части - нерж. сталь, 0,8 м3/ч, h=50м, 1,1 кВт, 17,2 кг;шт;4;44579,13;178316,52;;;130
128;"п.85 КА;прайс-лист №20";Насос циркуляционный Грундфос Магна 3 40-120F;шт;2;13093,77;26187,54;;;45
101;"п.85 КА; прайс-лист №20";Насос циркуляционный Грундфос Магна 3 40-120F;шт;2;13093,77;26187,54;;;45
138;"п.38 КА; прайс-лист №135";Насос циркуляционный Грундфос Магна 3 50-180;шт;2;621,01;1242,02;;;44
124;"п.82 КА;   прайс-лист №135";Насос циркуляционный Грундфос Магна 3 50-180;шт;2;22271,87;44543,74;;;44
40;"Прайс лист  ООО ""Помпашоп"" (116.4-01-СМ4.4  стр. 171)";"Насос шнековый бочковой с частотным преобразователем (Finish Thompson BTS-40)
Подача максимальная, л/мин - 38;
Напор максимальный, м - 61;
Вязкость среды максимальная, сСт - 15000; Плотность максимальная, г/см3 - 1,8;Мощность электродвигателя, кВт - 2,2;
Напряжение, В - 230/460; Исполнение  - взрывозащищённое";шт;2;81260,87;162521,74;;;314
85;"стр.402, п.26; 116.4-01-СМ4.5.1, Том 11.4.5.1 (КАЦ п. 29.2) КП АО""Гипротяжмаш""";Насосная установка повышения давления (1 раб., 1 рез.) на раме, в компл. с обвязкой, Q=3,17 м3/ч, Н=89 м, Hydro MPC-S 2 CRN 3-19, 151 кг;компл.;1;105921,01;105921,01;;;136
42;"п.1; 116.4-01-СМ4.5, Том 11.4.5  (КАЦ п.22.33) Счет ООО ""Насосы Ампика""";Насосы серии FDM с корпусом из фторопласта (PVDF), мембрана и клапан из тефлона (PTFE) FDM 10 PVDF/TT, производительность 0-40 дм3/мин, размеры 202х145х235, пневматический, 0-7 атм, 2,1 кг;шт;12;13536,23;162434,76;;;188
163;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.52;Одноканальный ...;шт.;6;16521,74;99130,44;;;17
168;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.56;"Одноканальный двухлучевой ультразвуковой расходомер-счетчик, Ду 100 мм, длина соединительного кабеля 4 х 25 м, с частотным/импульсным и двумя параллельными токовым выходами, с функцией архивирования 
(RS-485), фланцевое соединение.
 В составе:
-электронный измерительный блок. US-800 (вода)";шт.;1;16956,52;16956,52;;;293
169;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.57;"Одноканальный двухлучевой ультразвуковой расходомер-счетчик, Ду 100 мм, длина соединительного кабеля 4 х 25 м, с частотным/импульсным и двумя параллельными токовым выходами, с функцией архивирования 
(RS-485), фланцевое соединение.
 В составе:
-электронный измерительный блок. US-800 (солевой раствор)";шт.;1;25797,1;25797,1;;;304
162;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.51;"Одноканальный двухлучевой ультразвуковой расходомер-счетчик, Ду 100 мм, с частотным/импульсным и токовым 4-20 мА выходами, с функцией архивирования (RS-485), фланцевое соединение в составе:
- электронный измерительный блок, температура окружающей среды от +5 до +50 °С,  напряжение питания 220В, потребляемая мощность 5Вт, IP65;
 - ультразвуковой преобразователь расхода (УПР), нерж сталь 12Х18Н10Т, 
1,6 МПа, температура окружающей среды от минус 40 до +60 °С,температура измеряемой жидкости 0 до 120 °С, IP65;
 - соединительный кабель;
 - комплект монтажных частей нерж сталь 12Х18Н10Т (ответные фланцы, крепеж, прокладки) US-800 (солевой раствор)";шт.;1;25797,1;25797,1;;;654
170;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.58;"Одноканальный двухлучевой ультразвуковой расходомер-счетчик, Ду 150 мм, длина соединительного кабеля 4 х 25 м, с частотным/импульсным и двумя параллельными токовым выходами, с функцией архивирования 
(RS-485), фланцевое соединение.
 В составе:
-электронный измерительный блок. US-800 (вода)";шт.;1;19565,22;19565,22;;;293
184;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.72;"Одноканальный двухлучевой ультразвуковой расходомер-счетчик, Ду 150 мм, длина соединительного кабеля 4 х 25 м, с частотным/импульсным и двумя параллельными токовым выходами, с функцией архивирования 
(RS-485), фланцевое соединение.
 В составе:
-электронный измерительный блок US-800 (солевой раствор)";шт.;3;33188,41;99565,23;;;303
171;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.59;"Одноканальный двухлучевой ультразвуковой расходомер-счетчик, Ду 32 мм, длина соединительного кабеля 4 х 25 м, с частотным/импульсным и двумя параллельными токовым выходами, с функцией архивирования 
(RS-485), фланцевое соединение.
 В составе:
-электронный измерительный блок.  US-800";шт.;1;6720;6720;;;286
166;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.54;"Одноканальный двухлучевой ультразвуковой расходомер-счетчик, Ду 50 мм, длина соединительного кабеля 4 х 25 м, с частотным/импульсным и двумя параллельными токовым выходами, с функцией архивирования 
(RS-485), фланцевое соединение.
 В составе:
-электронный измерительный блок. US-800 (солевой раствор)";шт.;1;21014,49;21014,49;;;303
167;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.55;"Одноканальный двухлучевой ультразвуковой расходомер-счетчик, Ду 65 мм, длина соединительного кабеля 4 х 25 м, с частотным/импульсным и двумя параллельными токовым выходами, с функцией архивирования 
(RS-485), фланцевое соединение.
 В составе:
-электронный измерительный блок. US-800 (солевой раствор)";шт.;3;22173,91;66521,73;;;303
173;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.60;"Одноканальный двухлучевой ультразвуковой расходомер-счетчик, Ду 80 мм, длина соединительного кабеля 4 х 25 м, с частотным/импульсным и двумя параллельными токовым выходами, с функцией архивирования 
(RS-485), фланцевое соединение.
 В составе:
-электронный измерительный блок. US-800...";шт.;2;;16361,74;;;288
97;"стр.292, п.12; 116.4-01-СМ4.5.2, Том 11.4.5.2 (КАЦ п.23.5), КП Менделеевский Инжиниринговый Центр";Однострунный резак, габаритные размеры, L1100х930х1300h мм, мощность привода 2,2 кВт, подходит для нарезки мерного бруса любого сечения РАШЛ-3, 200 кг;шт;1;173913,04;173913,04;;;150
67;"Прайс-лист Компания""МИР БЕЗОПАСНОСТИ""";Оповещатель звуковой взрывозащищенный  ВП-О-З;шт;6;745,07;4470,42;;;45
113;Прайс-листООО «М-01.ру»;"Оповещатель охранно-пожарный световой - информационное табло ""...";шт;14;;11159,4;;;65
68;Прайс-листООО «М-01.ру»;"Оповещатель охранно-пожарный световой - информационное табло ""...";шт;42;;33478,2;;;65
99;Прайс-лист  Компания «ВИДКОМ»;"Оповещатель охранно-пожарный световой - информационное табло ""Пена не входи""  ИРИДА-ГЕФЕСТ";шт;7;782,61;5478,27;;;90
65;Прайс-лист  Компания «ВИДКОМ»;"Оповещатель охранно-пожарный световой - информационное табло ""Пена не входи""  ИРИДА-ГЕФЕСТ";шт;21;782,61;16434,81;;;90
96;Прайс-лист «ТД ТИНКО» ;Оповещатель охранно-пожарный Экран-ИНФО-С 12-24V, КВБ12;шт;2;5257,68;10515,36;;;55
107;Прайс-лист Торговый дом «Актив-СБ»;Оповещатель свето-звуковой взрывозащищенный  ВП-О-СЗ;шт;4;843,19;3372,76;;;52
38;"стр.127, 116.4-01-СМ4.5.1, том 11.4.5.1; (КАЦ п. 15.1, том 11.4.5.1)";Оповещатель световой  «Порошок уходи» «КОП-25»;шт.;17;70,72;1202,24;;;46
40;"стр.127, 116.4-01-СМ4.5.1, том 11.4.5.1; (КАЦ п. 15.3, том 11.4.5.1)";Оповещатель световой «Автоматика отключена»  «КОП-25»;шт.;17;81,16;1379,72;;;53
39;"стр.127, 116.4-01-СМ4.5.1, том 11.4.5.1; (КАЦ п. 15.2, том 11.4.5.1)";Оповещатель световой «Порошок не входи»  «КОП-25»;шт.;17;81,16;1379,72;;;49
125;Прайс-лист Эридан 2020г;"Оповещатель световой ЭКРАН-С-ККВ-К2-230VAC, ГАЗ НЕ ВХОДИТЬ (К/Ч)/
ЗАГАЗОВАННОСТЬ 1 (2) ПОРОГ, КВБУ12, ЗГ, ЗГ, СЗК Экран, АК-4Э";1 шт.;4;2947,97;11791,88;;;127
177;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.62;"Оптический датчик растворенной органики UVAS plus sc.
Метод измерения: измерение УФ- поглощения (двухлучевой безреагентный метод)
Диапазоны измерения:
0.01-60 м-1 (длина оптич. пути 50 мм);
0.1-600 м-1 (длина оптич. пути 5 мм);
0-1500м-1 (длина оптич. пути 2 мм);
2-3000м-1 (длина оптич. пути 1 мм)";шт.;2;18115,94;36231,88;;;304
139;"п.404КА;ком.предложение VTS от21.07.2020г.";Опциональные элементы;комплект;1;23458,69;23458,69;;;21
137;Прайс-лист Юнит - систем безопасности;"Органайзер кабельный горизонтальный 19"" 1 U, 4 кольца, цвет черный ГКО-4.62-9005";шт;1;52,17;52,17;;;80
126;Прайс-лист Юнит - систем безопасности;"Органайзер кабельный горизонтальный 19"" 1 U, 4 кольца, цвет черный ГКО-4.62-9005";шт;1;52,17;52,17;;;80
117;Прайс-лист Юнит - систем безопасности;"Органайзер кабельный горизонтальный 19"" 1 U, 4 кольца, цвет черный ГКО-4.62-9005";шт;1;52,17;52,17;;;80
