№ п/п;Код ресурса;Наименование ресурса;Ед.изм.;Кол-во;Сметная стоимоть  в базисном уровне;;;;
;;;;;На ед.    изм.;Общ;ЗП маш;;
44;Прайслист ООО «Прибор-ГАНК»;   - 01026120 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Пропан-2-он (ацетон). Реле 1 - порог - 200 мг/м3. Выход норм.сигн. 4-20 К-т разъемов к каб. Диап. измерений: 100 - 4000 мг/м3;комп.;1;62014,49;62014,49;;;234
48;Прайслист ООО «Прибор-ГАНК»;"   - 01026142 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Кислота серная. Реле 1 - порог - 1
мг/м3. Выход норм.сигн. 4-20 К-т разъемов к каб. Диапазон изм.: 0,5 - 20 мг/м3";комп.;14;62014,49;496115,92;;;223
45;Прайслист ООО «Прибор-ГАНК»;   - 01026153 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Трихлорметан (хлороформ). Реле 1 - порог - 5 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 2,5 - 10 мг/м3;комп.;1;62014,49;62014,49;;;237
46;Прайслист ООО «Прибор-ГАНК»;   - 01026167 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Формальдегид.  Реле 1 - порог - 0,5 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 0,25 - 10 мг/м3;комп.;1;62014,49;62014,49;;;229
21;Прайслист ООО «Прибор-ГАНК»;   - 01026187 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Хлор. Реле 1 - порог - 1 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 0,5 - 20 мг/м3;комп.;1;62014,49;62014,49;;;217
47;Прайслист ООО «Прибор-ГАНК»;   - 01026189 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Хлорбензол. Реле 1 - порог - 50 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 25 - 1000 мг/м3;комп.;1;62014,49;62014,49;;;225
48;Прайслист ООО «Прибор-ГАНК»;   - 01026205 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Кислота уксусная (этановая кислота). Реле 1 - порог - 5 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 2,5 - 100 мг/м3;комп.;1;62014,49;62014,49;;;249
22;Прайслист ООО «Прибор-ГАНК»;   - 01026221 Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения - Карбамид (мочевина).  Реле 1 - порог - 10 мг/м3. Выход норм.сигнала 4-20. К-т разъемов к каб. Диап. измерений: 5 - 200 мг/м3;комп.;1;62014,49;62014,49;;;233
89;"Прайс лист ""НПО ""Экопроект"" /Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 02-08.524 Шкаф лабораторный вытяжной (цельнометаллический) ШВЛ-05.3. Габаритные размеры 1200 х 850 х 2400 (2530) мм.;шт;11;23306;209754;;;121
115;"Прайс лист ООО ""Завод лабораторной мебели Эксперт""";   - 03-08.723. Стеллаж. ЦМ сварной, 6 полок металл. Габаритные размеры 900 х 420 х 1920 мм. МРЛ-37.3;шт;2;1874,09;3748,18;;;101
